env,penalty,mode,seed,target,coverage,entropy,retention,regret,surprise_pct,elasticity,recovery,preserved,recovered,hybrid,rediscovered
DelayedPayoff,200,GA+SA,115,Y,2,0.7219,0.4555,0.0833,100.0,0.0000,999,0,0,0,0
DelayedPayoff,200,GA+SA,116,Z,1,0.0000,0.0000,-0.0571,100.0,-0.0200,999,0,0,0,0
DelayedPayoff,200,GA+SA,117,Z,1,0.0000,0.0000,0.1389,100.0,0.0000,999,0,0,0,0
DelayedPayoff,200,GA+SA,118,X,3,1.4591,0.9206,0.0333,100.0,0.0200,999,0,0,0,0
DelayedPayoff,200,GA+SA,119,Y,1,0.0000,0.0000,0.0238,100.0,-0.0400,999,0,0,0,0
DelayedPayoff,500,GA,100,Z,1,0.0000,0.0000,0.1250,100.0,0.0200,999,0,0,0,0
DelayedPayoff,500,GA,101,Z,1,0.0000,0.0000,-0.0238,100.0,-0.0200,999,0,0,0,0
DelayedPayoff,500,GA,102,Z,0,0.0000,0.0000,0.0000,100.0,-0.0200,999,0,0,0,0
DelayedPayoff,500,GA,103,Z,1,0.0000,0.0000,0.0571,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,GA,104,X,2,0.9183,0.5794,0.0417,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,GA,105,X,1,0.0000,0.0000,0.0571,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,GA,106,Z,0,0.0000,0.0000,-0.0179,100.0,0.0200,999,0,0,0,0
DelayedPayoff,500,GA,107,X,1,0.0000,0.0000,-0.1071,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,GA,108,Z,1,0.0000,0.0000,0.0238,100.0,0.0200,999,0,0,0,0
DelayedPayoff,500,GA,109,Y,0,0.0000,0.0000,0.0000,100.0,0.0400,999,0,0,0,0
DelayedPayoff,500,GA,110,X,0,0.0000,0.0000,0.0179,100.0,-0.0200,999,0,0,0,0
DelayedPayoff,500,GA,111,Y,2,0.9183,0.5794,0.0333,100.0,-0.0400,999,0,0,0,0
DelayedPayoff,500,GA,112,Z,0,0.0000,0.0000,0.0317,100.0,0.0400,999,0,0,0,0
DelayedPayoff,500,GA,113,X,2,0.8113,0.5119,0.0750,100.0,-0.0200,999,0,0,0,0
DelayedPayoff,500,GA,114,Z,1,0.0000,0.0000,0.2083,66.7,0.0200,999,0,0,0,0
DelayedPayoff,500,GA,115,Y,1,0.0000,0.0000,0.0238,100.0,0.0200,999,0,0,0,0
DelayedPayoff,500,GA,116,Z,1,0.0000,0.0000,-0.0238,100.0,-0.0200,999,0,0,0,0
DelayedPayoff,500,GA,117,Z,0,0.0000,0.0000,0.0000,100.0,-0.0400,999,0,0,0,0
DelayedPayoff,500,GA,118,X,1,0.0000,0.0000,0.0889,100.0,0.0400,999,0,0,0,0
DelayedPayoff,500,GA,119,Y,2,1.0000,0.6309,0.0500,100.0,-0.0200,999,0,0,0,0
DelayedPayoff,500,PureSA,100,Z,3,1.4591,0.9206,0.0000,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,PureSA,101,Z,2,0.9183,0.5794,0.0238,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,PureSA,102,Z,2,1.0000,0.6309,0.0000,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,PureSA,103,Z,1,0.0000,0.0000,-0.1071,100.0,0.0000,302,0,0,0,0
DelayedPayoff,500,PureSA,104,X,1,0.0000,0.0000,0.0238,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,PureSA,105,X,3,1.5850,1.0000,0.0000,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,PureSA,106,Z,2,0.9183,0.5794,-0.0500,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,PureSA,107,X,3,1.5613,0.9851,0.0500,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,PureSA,108,Z,2,1.0000,0.6309,-0.0333,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,PureSA,109,Y,2,0.9852,0.6216,0.0333,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,PureSA,110,X,2,1.0000,0.6309,-0.0833,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,PureSA,111,Y,2,0.7219,0.4555,0.0000,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,PureSA,112,Z,2,1.0000,0.6309,0.0333,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,PureSA,113,X,3,1.3710,0.8650,0.0000,100.0,0.0000,307,0,0,0,0
DelayedPayoff,500,PureSA,114,Z,3,1.5000,0.9464,-0.0333,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,PureSA,115,Y,3,1.2516,0.7897,0.0000,100.0,0.0000,999,0,0,0,0
DelayedPayoff,500,PureSA,116,Z,3,1.3516,0.8528,0.0333,100.0,0.0000,999,0,0,0,0
