env,penalty,mode,seed,gen,dist0,dist2,dist5,dist10
StaticNull,200,PureSA,101,150,0.00,0.00,3.00,43.00
StaticNull,200,PureSA,101,200,0.00,0.00,3.00,42.00
StaticNull,200,PureSA,101,250,0.00,0.00,3.00,42.00
StaticNull,200,PureSA,101,300,0.00,0.00,3.00,44.00
StaticNull,200,PureSA,101,350,0.00,0.00,2.00,43.00
StaticNull,200,PureSA,101,400,0.00,0.00,2.00,42.00
StaticNull,200,PureSA,101,450,0.00,0.00,2.00,42.00
StaticNull,200,PureSA,101,500,0.00,0.00,2.00,41.00
StaticNull,200,PureSA,101,550,0.00,0.00,2.00,41.00
StaticNull,200,PureSA,101,600,0.00,0.00,2.00,41.00
StaticNull,200,PureSA,101,650,0.00,0.00,2.00,41.00
StaticNull,200,PureSA,101,700,0.00,0.00,2.00,41.00
StaticNull,200,PureSA,101,750,0.00,0.00,2.00,41.00
StaticNull,200,PureSA,101,800,0.00,0.00,2.00,41.00
StaticNull,200,PureSA,101,850,0.00,0.00,2.00,41.00
StaticNull,200,PureSA,101,900,0.00,0.00,2.00,41.00
StaticNull,200,PureSA,101,950,0.00,0.00,2.00,41.00
StaticNull,200,PureSA,101,1000,0.00,0.00,2.00,41.00
StaticNull,200,PureSA,102,0,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,102,50,0.00,0.00,4.00,50.00
StaticNull,200,PureSA,102,100,0.00,0.00,2.00,52.00
StaticNull,200,PureSA,102,150,0.00,0.00,0.00,49.00
StaticNull,200,PureSA,102,200,0.00,0.00,0.00,55.00
StaticNull,200,PureSA,102,250,0.00,0.00,0.00,53.00
StaticNull,200,PureSA,102,300,0.00,0.00,0.00,50.00
StaticNull,200,PureSA,102,350,0.00,0.00,0.00,49.00
StaticNull,200,PureSA,102,400,0.00,0.00,0.00,50.00
StaticNull,200,PureSA,102,450,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,102,500,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,102,550,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,102,600,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,102,650,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,102,700,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,102,750,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,102,800,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,102,850,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,102,900,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,102,950,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,102,1000,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,103,0,0.00,0.00,1.00,45.00
StaticNull,200,PureSA,103,50,0.00,0.00,1.00,52.00
StaticNull,200,PureSA,103,100,0.00,0.00,1.00,58.00
StaticNull,200,PureSA,103,150,0.00,0.00,1.00,59.00
StaticNull,200,PureSA,103,200,0.00,0.00,2.00,56.00
StaticNull,200,PureSA,103,250,0.00,0.00,2.00,58.00
StaticNull,200,PureSA,103,300,0.00,0.00,2.00,59.00
StaticNull,200,PureSA,103,350,0.00,0.00,2.00,60.00
StaticNull,200,PureSA,103,400,0.00,0.00,2.00,62.00
StaticNull,200,PureSA,103,450,0.00,0.00,2.00,61.00
StaticNull,200,PureSA,103,500,0.00,0.00,2.00,60.00
StaticNull,200,PureSA,103,550,0.00,0.00,2.00,60.00
StaticNull,200,PureSA,103,600,0.00,0.00,2.00,60.00
StaticNull,200,PureSA,103,650,0.00,0.00,2.00,60.00
StaticNull,200,PureSA,103,700,0.00,0.00,2.00,60.00
StaticNull,200,PureSA,103,750,0.00,0.00,2.00,60.00
StaticNull,200,PureSA,103,800,0.00,0.00,2.00,60.00
StaticNull,200,PureSA,103,850,0.00,0.00,2.00,60.00
StaticNull,200,PureSA,103,900,0.00,0.00,2.00,60.00
StaticNull,200,PureSA,103,950,0.00,0.00,2.00,60.00
StaticNull,200,PureSA,103,1000,0.00,0.00,2.00,60.00
StaticNull,200,PureSA,104,0,0.00,0.00,0.00,50.00
StaticNull,200,PureSA,104,50,0.00,0.00,1.00,54.00
StaticNull,200,PureSA,104,100,0.00,0.00,1.00,47.00
StaticNull,200,PureSA,104,150,0.00,0.00,2.00,48.00
StaticNull,200,PureSA,104,200,0.00,0.00,2.00,46.00
StaticNull,200,PureSA,104,250,0.00,0.00,3.00,48.00
StaticNull,200,PureSA,104,300,0.00,0.00,3.00,47.00
StaticNull,200,PureSA,104,350,0.00,0.00,3.00,43.00
StaticNull,200,PureSA,104,400,0.00,0.00,2.00,43.00
StaticNull,200,PureSA,104,450,0.00,0.00,2.00,43.00
StaticNull,200,PureSA,104,500,0.00,0.00,2.00,43.00
StaticNull,200,PureSA,104,550,0.00,0.00,2.00,44.00
StaticNull,200,PureSA,104,600,0.00,0.00,2.00,44.00
StaticNull,200,PureSA,104,650,0.00,0.00,2.00,44.00
StaticNull,200,PureSA,104,700,0.00,0.00,2.00,44.00
StaticNull,200,PureSA,104,750,0.00,0.00,2.00,44.00
StaticNull,200,PureSA,104,800,0.00,0.00,2.00,44.00
StaticNull,200,PureSA,104,850,0.00,0.00,2.00,44.00
StaticNull,200,PureSA,104,900,0.00,0.00,2.00,44.00
StaticNull,200,PureSA,104,950,0.00,0.00,2.00,44.00
StaticNull,200,PureSA,104,1000,0.00,0.00,2.00,44.00
StaticNull,200,PureSA,105,0,0.00,0.00,0.00,46.00
StaticNull,200,PureSA,105,50,0.00,0.00,2.00,52.00
StaticNull,200,PureSA,105,100,0.00,0.00,1.00,57.00
StaticNull,200,PureSA,105,150,0.00,0.00,1.00,49.00
StaticNull,200,PureSA,105,200,0.00,0.00,1.00,52.00
StaticNull,200,PureSA,105,250,0.00,0.00,2.00,54.00
StaticNull,200,PureSA,105,300,0.00,0.00,2.00,56.00
StaticNull,200,PureSA,105,350,0.00,0.00,2.00,56.00
StaticNull,200,PureSA,105,400,0.00,0.00,2.00,56.00
StaticNull,200,PureSA,105,450,0.00,0.00,2.00,55.00
StaticNull,200,PureSA,105,500,0.00,0.00,2.00,55.00
StaticNull,200,PureSA,105,550,0.00,0.00,2.00,56.00
StaticNull,200,PureSA,105,600,0.00,0.00,2.00,56.00
StaticNull,200,PureSA,105,650,0.00,0.00,2.00,56.00
StaticNull,200,PureSA,105,700,0.00,0.00,2.00,56.00
StaticNull,200,PureSA,105,750,0.00,0.00,2.00,56.00
StaticNull,200,PureSA,105,800,0.00,0.00,2.00,55.00
StaticNull,200,PureSA,105,850,0.00,0.00,2.00,55.00
StaticNull,200,PureSA,105,900,0.00,0.00,2.00,55.00
StaticNull,200,PureSA,105,950,0.00,0.00,2.00,55.00
StaticNull,200,PureSA,105,1000,0.00,0.00,2.00,55.00
StaticNull,200,PureSA,106,0,0.00,0.00,0.00,39.00
StaticNull,200,PureSA,106,50,0.00,0.00,1.00,53.00
StaticNull,200,PureSA,106,100,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,106,150,0.00,0.00,0.00,49.00
StaticNull,200,PureSA,106,200,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,106,250,0.00,0.00,0.00,48.00
StaticNull,200,PureSA,106,300,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,106,350,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,106,400,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,106,450,0.00,0.00,2.00,51.00
StaticNull,200,PureSA,106,500,0.00,0.00,2.00,51.00
StaticNull,200,PureSA,106,550,0.00,0.00,2.00,51.00
StaticNull,200,PureSA,106,600,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,106,650,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,106,700,0.00,0.00,2.00,51.00
StaticNull,200,PureSA,106,750,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,106,800,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,106,850,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,106,900,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,106,950,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,106,1000,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,107,0,0.00,0.00,0.00,57.00
StaticNull,200,PureSA,107,50,0.00,0.00,1.00,50.00
StaticNull,200,PureSA,107,100,0.00,0.00,3.00,52.00
StaticNull,200,PureSA,107,150,0.00,0.00,3.00,51.00
StaticNull,200,PureSA,107,200,0.00,0.00,3.00,49.00
StaticNull,200,PureSA,107,250,0.00,0.00,3.00,51.00
StaticNull,200,PureSA,107,300,0.00,0.00,4.00,50.00
StaticNull,200,PureSA,107,350,0.00,0.00,4.00,51.00
StaticNull,200,PureSA,107,400,0.00,0.00,4.00,50.00
StaticNull,200,PureSA,107,450,0.00,0.00,4.00,49.00
StaticNull,200,PureSA,107,500,0.00,0.00,4.00,49.00
StaticNull,200,PureSA,107,550,0.00,0.00,4.00,49.00
StaticNull,200,PureSA,107,600,0.00,0.00,4.00,50.00
StaticNull,200,PureSA,107,650,0.00,0.00,4.00,50.00
StaticNull,200,PureSA,107,700,0.00,0.00,4.00,50.00
StaticNull,200,PureSA,107,750,0.00,0.00,4.00,50.00
StaticNull,200,PureSA,107,800,0.00,0.00,4.00,50.00
StaticNull,200,PureSA,107,850,0.00,0.00,4.00,50.00
StaticNull,200,PureSA,107,900,0.00,0.00,4.00,50.00
StaticNull,200,PureSA,107,950,0.00,0.00,4.00,50.00
StaticNull,200,PureSA,107,1000,0.00,0.00,4.00,50.00
StaticNull,200,PureSA,108,0,0.00,0.00,2.00,54.00
StaticNull,200,PureSA,108,50,0.00,0.00,4.00,55.00
StaticNull,200,PureSA,108,100,0.00,0.00,3.00,60.00
StaticNull,200,PureSA,108,150,0.00,0.00,4.00,60.00
StaticNull,200,PureSA,108,200,0.00,0.00,3.00,56.00
StaticNull,200,PureSA,108,250,0.00,0.00,3.00,52.00
StaticNull,200,PureSA,108,300,0.00,0.00,3.00,50.00
StaticNull,200,PureSA,108,350,0.00,0.00,4.00,53.00
StaticNull,200,PureSA,108,400,0.00,0.00,4.00,53.00
StaticNull,200,PureSA,108,450,0.00,0.00,4.00,54.00
StaticNull,200,PureSA,108,500,0.00,0.00,4.00,54.00
StaticNull,200,PureSA,108,550,0.00,0.00,4.00,54.00
StaticNull,200,PureSA,108,600,0.00,0.00,4.00,54.00
StaticNull,200,PureSA,108,650,0.00,0.00,4.00,54.00
StaticNull,200,PureSA,108,700,0.00,0.00,4.00,54.00
StaticNull,200,PureSA,108,750,0.00,0.00,4.00,54.00
StaticNull,200,PureSA,108,800,0.00,0.00,4.00,54.00
StaticNull,200,PureSA,108,850,0.00,0.00,4.00,54.00
StaticNull,200,PureSA,108,900,0.00,0.00,4.00,54.00
StaticNull,200,PureSA,108,950,0.00,0.00,4.00,54.00
StaticNull,200,PureSA,108,1000,0.00,0.00,4.00,54.00
StaticNull,200,PureSA,109,0,0.00,1.00,3.00,42.00
StaticNull,200,PureSA,109,50,0.00,0.00,1.00,52.00
StaticNull,200,PureSA,109,100,0.00,0.00,2.00,53.00
StaticNull,200,PureSA,109,150,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,109,200,0.00,0.00,2.00,52.00
StaticNull,200,PureSA,109,250,0.00,0.00,1.00,52.00
StaticNull,200,PureSA,109,300,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,109,350,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,109,400,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,109,450,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,109,500,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,109,550,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,109,600,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,109,650,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,109,700,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,109,750,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,109,800,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,109,850,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,109,900,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,109,950,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,109,1000,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,110,0,0.00,0.00,2.00,54.00
StaticNull,200,PureSA,110,50,0.00,0.00,1.00,50.00
StaticNull,200,PureSA,110,100,0.00,0.00,2.00,52.00
StaticNull,200,PureSA,110,150,0.00,1.00,4.00,47.00
StaticNull,200,PureSA,110,200,0.00,1.00,3.00,49.00
StaticNull,200,PureSA,110,250,0.00,0.00,3.00,49.00
StaticNull,200,PureSA,110,300,0.00,0.00,3.00,48.00
StaticNull,200,PureSA,110,350,0.00,0.00,3.00,48.00
StaticNull,200,PureSA,110,400,0.00,0.00,3.00,48.00
StaticNull,200,PureSA,110,450,0.00,0.00,3.00,49.00
StaticNull,200,PureSA,110,500,0.00,0.00,3.00,49.00
StaticNull,200,PureSA,110,550,0.00,0.00,3.00,50.00
StaticNull,200,PureSA,110,600,0.00,0.00,3.00,50.00
StaticNull,200,PureSA,110,650,0.00,0.00,3.00,50.00
StaticNull,200,PureSA,110,700,0.00,0.00,3.00,50.00
StaticNull,200,PureSA,110,750,0.00,0.00,3.00,50.00
StaticNull,200,PureSA,110,800,0.00,0.00,3.00,50.00
StaticNull,200,PureSA,110,850,0.00,0.00,3.00,50.00
StaticNull,200,PureSA,110,900,0.00,0.00,3.00,50.00
StaticNull,200,PureSA,110,950,0.00,0.00,3.00,50.00
StaticNull,200,PureSA,110,1000,0.00,0.00,3.00,50.00
StaticNull,200,PureSA,111,0,0.00,0.00,2.00,58.00
StaticNull,200,PureSA,111,50,0.00,0.00,1.00,51.00
StaticNull,200,PureSA,111,100,0.00,0.00,2.00,51.00
StaticNull,200,PureSA,111,150,0.00,0.00,1.00,53.00
StaticNull,200,PureSA,111,200,0.00,0.00,1.00,55.00
StaticNull,200,PureSA,111,250,0.00,0.00,1.00,54.00
StaticNull,200,PureSA,111,300,0.00,0.00,0.00,53.00
StaticNull,200,PureSA,111,350,0.00,0.00,0.00,54.00
StaticNull,200,PureSA,111,400,0.00,0.00,0.00,54.00
StaticNull,200,PureSA,111,450,0.00,0.00,1.00,55.00
StaticNull,200,PureSA,111,500,0.00,0.00,1.00,56.00
StaticNull,200,PureSA,111,550,0.00,0.00,1.00,56.00
StaticNull,200,PureSA,111,600,0.00,0.00,1.00,56.00
StaticNull,200,PureSA,111,650,0.00,0.00,1.00,56.00
StaticNull,200,PureSA,111,700,0.00,0.00,1.00,57.00
StaticNull,200,PureSA,111,750,0.00,0.00,1.00,57.00
StaticNull,200,PureSA,111,800,0.00,0.00,1.00,57.00
StaticNull,200,PureSA,111,850,0.00,0.00,1.00,57.00
StaticNull,200,PureSA,111,900,0.00,0.00,1.00,57.00
StaticNull,200,PureSA,111,950,0.00,0.00,1.00,57.00
StaticNull,200,PureSA,111,1000,0.00,0.00,1.00,57.00
StaticNull,200,PureSA,112,0,0.00,0.00,1.00,48.00
StaticNull,200,PureSA,112,50,0.00,0.00,2.00,49.00
StaticNull,200,PureSA,112,100,0.00,0.00,3.00,46.00
StaticNull,200,PureSA,112,150,0.00,0.00,2.00,46.00
StaticNull,200,PureSA,112,200,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,112,250,0.00,0.00,1.00,44.00
StaticNull,200,PureSA,112,300,0.00,0.00,1.00,44.00
StaticNull,200,PureSA,112,350,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,112,400,0.00,0.00,1.00,47.00
StaticNull,200,PureSA,112,450,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,112,500,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,112,550,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,112,600,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,112,650,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,112,700,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,112,750,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,112,800,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,112,850,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,112,900,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,112,950,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,112,1000,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,113,0,0.00,0.00,2.00,43.00
StaticNull,200,PureSA,113,50,0.00,0.00,1.00,51.00
StaticNull,200,PureSA,113,100,0.00,0.00,2.00,48.00
StaticNull,200,PureSA,113,150,0.00,0.00,1.00,50.00
StaticNull,200,PureSA,113,200,0.00,0.00,1.00,49.00
StaticNull,200,PureSA,113,250,0.00,0.00,1.00,46.00
StaticNull,200,PureSA,113,300,0.00,0.00,1.00,51.00
StaticNull,200,PureSA,113,350,0.00,0.00,1.00,52.00
StaticNull,200,PureSA,113,400,0.00,0.00,1.00,53.00
StaticNull,200,PureSA,113,450,0.00,0.00,1.00,53.00
StaticNull,200,PureSA,113,500,0.00,0.00,1.00,52.00
StaticNull,200,PureSA,113,550,0.00,0.00,1.00,52.00
StaticNull,200,PureSA,113,600,0.00,0.00,1.00,52.00
StaticNull,200,PureSA,113,650,0.00,0.00,1.00,52.00
StaticNull,200,PureSA,113,700,0.00,0.00,1.00,52.00
StaticNull,200,PureSA,113,750,0.00,0.00,1.00,52.00
StaticNull,200,PureSA,113,800,0.00,0.00,1.00,52.00
StaticNull,200,PureSA,113,850,0.00,0.00,1.00,52.00
StaticNull,200,PureSA,113,900,0.00,0.00,1.00,52.00
StaticNull,200,PureSA,113,950,0.00,0.00,1.00,52.00
StaticNull,200,PureSA,113,1000,0.00,0.00,1.00,52.00
StaticNull,200,PureSA,114,0,0.00,0.00,1.00,47.00
StaticNull,200,PureSA,114,50,0.00,0.00,0.00,49.00
StaticNull,200,PureSA,114,100,0.00,0.00,0.00,48.00
StaticNull,200,PureSA,114,150,0.00,0.00,0.00,49.00
StaticNull,200,PureSA,114,200,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,114,250,0.00,0.00,0.00,50.00
StaticNull,200,PureSA,114,300,0.00,0.00,0.00,49.00
StaticNull,200,PureSA,114,350,0.00,0.00,0.00,49.00
StaticNull,200,PureSA,114,400,0.00,0.00,0.00,49.00
StaticNull,200,PureSA,114,450,0.00,0.00,0.00,50.00
StaticNull,200,PureSA,114,500,0.00,0.00,0.00,49.00
StaticNull,200,PureSA,114,550,0.00,0.00,0.00,49.00
StaticNull,200,PureSA,114,600,0.00,0.00,0.00,49.00
StaticNull,200,PureSA,114,650,0.00,0.00,0.00,49.00
StaticNull,200,PureSA,114,700,0.00,0.00,0.00,49.00
StaticNull,200,PureSA,114,750,0.00,0.00,0.00,49.00
StaticNull,200,PureSA,114,800,0.00,0.00,0.00,48.00
StaticNull,200,PureSA,114,850,0.00,0.00,0.00,48.00
StaticNull,200,PureSA,114,900,0.00,0.00,0.00,48.00
StaticNull,200,PureSA,114,950,0.00,0.00,0.00,48.00
StaticNull,200,PureSA,114,1000,0.00,0.00,0.00,48.00
StaticNull,200,PureSA,115,0,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,115,50,0.00,0.00,1.00,52.00
StaticNull,200,PureSA,115,100,0.00,0.00,0.00,49.00
StaticNull,200,PureSA,115,150,0.00,0.00,0.00,50.00
StaticNull,200,PureSA,115,200,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,115,250,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,115,300,0.00,0.00,0.00,50.00
StaticNull,200,PureSA,115,350,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,115,400,0.00,0.00,0.00,52.00
StaticNull,200,PureSA,115,450,0.00,0.00,0.00,50.00
StaticNull,200,PureSA,115,500,0.00,0.00,0.00,50.00
StaticNull,200,PureSA,115,550,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,115,600,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,115,650,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,115,700,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,115,750,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,115,800,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,115,850,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,115,900,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,115,950,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,115,1000,0.00,0.00,0.00,51.00
StaticNull,200,PureSA,116,0,0.00,0.00,1.00,45.00
StaticNull,200,PureSA,116,50,0.00,0.00,2.00,57.00
StaticNull,200,PureSA,116,100,0.00,0.00,1.00,55.00
StaticNull,200,PureSA,116,150,0.00,0.00,2.00,55.00
StaticNull,200,PureSA,116,200,0.00,0.00,2.00,53.00
StaticNull,200,PureSA,116,250,0.00,0.00,2.00,53.00
StaticNull,200,PureSA,116,300,0.00,0.00,2.00,54.00
StaticNull,200,PureSA,116,350,0.00,0.00,2.00,53.00
StaticNull,200,PureSA,116,400,0.00,0.00,2.00,52.00
StaticNull,200,PureSA,116,450,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,116,500,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,116,550,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,116,600,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,116,650,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,116,700,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,116,750,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,116,800,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,116,850,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,116,900,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,116,950,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,116,1000,0.00,0.00,2.00,50.00
StaticNull,200,PureSA,117,0,0.00,0.00,2.00,56.00
StaticNull,200,PureSA,117,50,0.00,0.00,1.00,53.00
StaticNull,200,PureSA,117,100,0.00,0.00,2.00,56.00
StaticNull,200,PureSA,117,150,0.00,0.00,3.00,55.00
StaticNull,200,PureSA,117,200,0.00,0.00,3.00,52.00
StaticNull,200,PureSA,117,250,0.00,0.00,3.00,53.00
StaticNull,200,PureSA,117,300,0.00,0.00,1.00,55.00
StaticNull,200,PureSA,117,350,0.00,0.00,1.00,56.00
StaticNull,200,PureSA,117,400,0.00,0.00,1.00,57.00
StaticNull,200,PureSA,117,450,0.00,0.00,1.00,56.00
StaticNull,200,PureSA,117,500,0.00,0.00,1.00,56.00
StaticNull,200,PureSA,117,550,0.00,0.00,1.00,56.00
StaticNull,200,PureSA,117,600,0.00,0.00,1.00,56.00
StaticNull,200,PureSA,117,650,0.00,0.00,1.00,56.00
StaticNull,200,PureSA,117,700,0.00,0.00,1.00,56.00
StaticNull,200,PureSA,117,750,0.00,0.00,1.00,56.00
StaticNull,200,PureSA,117,800,0.00,0.00,1.00,56.00
StaticNull,200,PureSA,117,850,0.00,0.00,1.00,56.00
StaticNull,200,PureSA,117,900,0.00,0.00,1.00,56.00
StaticNull,200,PureSA,117,950,0.00,0.00,1.00,56.00
StaticNull,200,PureSA,117,1000,0.00,0.00,1.00,56.00
StaticNull,200,PureSA,118,0,0.00,0.00,1.00,49.00
StaticNull,200,PureSA,118,50,0.00,0.00,1.00,56.00
StaticNull,200,PureSA,118,100,0.00,0.00,1.00,55.00
StaticNull,200,PureSA,118,150,0.00,0.00,1.00,50.00
StaticNull,200,PureSA,118,200,0.00,0.00,1.00,53.00
StaticNull,200,PureSA,118,250,0.00,0.00,0.00,53.00
StaticNull,200,PureSA,118,300,0.00,0.00,0.00,53.00
StaticNull,200,PureSA,118,350,0.00,0.00,0.00,55.00
StaticNull,200,PureSA,118,400,0.00,0.00,0.00,55.00
StaticNull,200,PureSA,118,450,0.00,0.00,0.00,55.00
StaticNull,200,PureSA,118,500,0.00,0.00,0.00,55.00
StaticNull,200,PureSA,118,550,0.00,0.00,0.00,56.00
StaticNull,200,PureSA,118,600,0.00,0.00,0.00,56.00
StaticNull,200,PureSA,118,650,0.00,0.00,0.00,56.00
StaticNull,200,PureSA,118,700,0.00,0.00,0.00,56.00
StaticNull,200,PureSA,118,750,0.00,0.00,0.00,56.00
StaticNull,200,PureSA,118,800,0.00,0.00,0.00,56.00
StaticNull,200,PureSA,118,850,0.00,0.00,0.00,56.00
StaticNull,200,PureSA,118,900,0.00,0.00,0.00,56.00
StaticNull,200,PureSA,118,950,0.00,0.00,0.00,56.00
StaticNull,200,PureSA,118,1000,0.00,0.00,0.00,56.00
StaticNull,200,PureSA,119,0,0.00,0.00,1.00,47.00
StaticNull,200,PureSA,119,50,0.00,0.00,1.00,58.00
StaticNull,200,PureSA,119,100,0.00,0.00,2.00,58.00
StaticNull,200,PureSA,119,150,0.00,0.00,2.00,55.00
StaticNull,200,PureSA,119,200,0.00,0.00,2.00,57.00
StaticNull,200,PureSA,119,250,0.00,0.00,2.00,59.00
StaticNull,200,PureSA,119,300,0.00,0.00,2.00,59.00
StaticNull,200,PureSA,119,350,0.00,0.00,2.00,58.00
StaticNull,200,PureSA,119,400,0.00,0.00,2.00,57.00
StaticNull,200,PureSA,119,450,0.00,0.00,2.00,57.00
StaticNull,200,PureSA,119,500,0.00,0.00,2.00,56.00
StaticNull,200,PureSA,119,550,0.00,0.00,3.00,55.00
StaticNull,200,PureSA,119,600,0.00,0.00,3.00,55.00
StaticNull,200,PureSA,119,650,0.00,0.00,3.00,55.00
StaticNull,200,PureSA,119,700,0.00,0.00,3.00,56.00
StaticNull,200,PureSA,119,750,0.00,0.00,3.00,56.00
StaticNull,200,PureSA,119,800,0.00,0.00,3.00,56.00
StaticNull,200,PureSA,119,850,0.00,0.00,3.00,56.00
StaticNull,200,PureSA,119,900,0.00,0.00,3.00,56.00
StaticNull,200,PureSA,119,950,0.00,0.00,3.00,56.00
StaticNull,200,PureSA,119,1000,0.00,0.00,3.00,56.00
StaticNull,200,GA+SA,100,0,0.00,0.00,3.00,56.00
StaticNull,200,GA+SA,100,50,0.00,0.00,3.00,73.00
StaticNull,200,GA+SA,100,100,0.00,0.00,0.00,79.00
StaticNull,200,GA+SA,100,150,0.00,0.00,1.00,66.00
StaticNull,200,GA+SA,100,200,0.00,0.00,1.00,70.00
StaticNull,200,GA+SA,100,250,0.00,0.00,1.00,56.00
StaticNull,200,GA+SA,100,300,0.00,0.00,3.00,68.00
StaticNull,200,GA+SA,100,350,0.00,0.00,0.00,81.00
StaticNull,200,GA+SA,100,400,0.00,0.00,0.00,67.00
StaticNull,200,GA+SA,100,450,0.00,0.00,3.00,76.00
StaticNull,200,GA+SA,100,500,0.00,0.00,0.00,62.00
StaticNull,200,GA+SA,100,550,0.00,0.00,3.00,76.00
StaticNull,200,GA+SA,100,600,0.00,0.00,1.00,58.00
StaticNull,200,GA+SA,100,650,0.00,0.00,1.00,61.00
StaticNull,200,GA+SA,100,700,0.00,0.00,0.00,55.00
StaticNull,200,GA+SA,100,750,0.00,0.00,0.00,64.00
StaticNull,200,GA+SA,100,800,0.00,0.00,0.00,70.00
StaticNull,200,GA+SA,100,850,0.00,0.00,0.00,58.00
StaticNull,200,GA+SA,100,900,0.00,0.00,2.00,83.00
StaticNull,200,GA+SA,100,950,0.00,0.00,2.00,64.00
StaticNull,200,GA+SA,100,1000,0.00,0.00,0.00,67.00
StaticNull,200,GA+SA,101,0,0.00,0.00,0.00,54.00
StaticNull,200,GA+SA,101,50,0.00,0.00,0.00,75.00
StaticNull,200,GA+SA,101,100,0.00,0.00,1.00,78.00
StaticNull,200,GA+SA,101,150,0.00,0.00,0.00,64.00
