cohort_label,as_of_cohort,evidence_row_id,as_of,ticker,direction,action,evidence_class,target_rate,sample_size,degradation_level,adaptive_rr,adaptive_horizon_sessions,reference_price,adaptive_target,adaptive_risk,exit_reason,sessions_to_outcome,target_reached,risk_reached,horizon_reached,actual_mfe,actual_mae,realized_return,eligible_for_primary_comparison
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-ICICIPRULI_NS,2026-03-23T03:45:00Z,ICICIPRULI.NS,LONG,NoTrade,Unfavourable,0.256757,148,Exact,0.875273,3.5,531.2500,550.3153,509.4679,NO_TRADE,2,false,false,false,0.038588,-0.011765,0.035888,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-IDEA_NS,2026-03-23T03:45:00Z,IDEA.NS,LONG,NoTrade,Unfavourable,0.241176,170,Exact,1.249998,3.0,8.7000,9.4250,8.1200,NO_TRADE,3,false,false,false,0.054023,0.000000,0.021839,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-IDFCFIRSTB_NS,2026-03-23T03:45:00Z,IDFCFIRSTB.NS,LONG,NoTrade,Unfavourable,0.240506,158,Exact,1.003608,4.0,60.2400,62.7562,57.7329,NO_TRADE,2,false,false,false,0.054947,0.000000,0.041769,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-IGL_NS,2026-03-23T03:45:00Z,IGL.NS,LONG,Watch,Mixed,0.371681,113,Exact,0.931534,4.0,147.9800,153.5069,142.0469,TARGET,2,true,false,false,0.039262,-0.002838,0.037349,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-INDHOTEL_NS,2026-03-23T03:45:00Z,INDHOTEL.NS,LONG,Buy,Favourable,0.453488,86,Exact,0.653093,5.0,582.4500,601.3148,553.5647,TARGET,1,true,false,false,0.043008,0.000000,0.032389,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-INDUSINDBK_NS,2026-03-23T03:45:00Z,INDUSINDBK.NS,LONG,NoTrade,Unfavourable,0.284314,102,Exact,1.210692,4.0,778.3500,815.4320,747.7212,NO_TRADE,2,false,false,false,0.071883,-0.008544,0.047642,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-INDUSTOWER_NS,2026-03-23T03:45:00Z,INDUSTOWER.NS,LONG,NoTrade,Unfavourable,0.280000,100,Exact,1.267887,4.0,413.6000,435.5744,396.2685,NO_TRADE,4,false,false,false,0.051257,0.000000,0.011001,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-INFY_NS,2026-03-23T03:45:00Z,INFY.NS,LONG,Watch,Mixed,0.304348,138,Exact,0.705060,4.0,1256.8000,1291.7023,1207.2975,TARGET,1,true,false,false,0.031986,-0.004615,0.027771,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-IOC_NS,2026-03-23T03:45:00Z,IOC.NS,LONG,NoTrade,Unfavourable,0.270073,137,Exact,0.897649,3.0,138.1100,142.9656,132.7008,NO_TRADE,3,false,false,false,0.045326,-0.007892,0.035334,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-IRCTC_NS,2026-03-23T03:45:00Z,IRCTC.NS,LONG,NoTrade,Unfavourable,0.263158,190,Exact,0.970591,4.0,510.3000,527.7801,492.2902,NO_TRADE,2,false,false,false,0.039389,-0.010680,0.034255,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-ITC_NS,2026-03-23T03:45:00Z,ITC.NS,LONG,Watch,Mixed,0.361111,144,Exact,0.801442,3.0,290.4500,296.3497,283.0887,TARGET,2,true,false,false,0.027716,-0.005853,0.020312,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-JINDALSTEL_NS,2026-03-23T03:45:00Z,JINDALSTEL.NS,SHORT,Watch,Mixed,0.373494,83,Exact,1.068205,3.0,1106.2000,1049.2731,1159.4921,HORIZON,3,false,false,true,0.000000,-0.043844,-0.022781,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-JSWSTEEL_NS,2026-03-23T03:45:00Z,JSWSTEEL.NS,LONG,Buy,Favourable,0.402062,97,Exact,0.949199,4.0,1109.6000,1144.6352,1072.6897,TARGET,2,true,false,false,0.054524,0.000000,0.031575,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-JUBLFOOD_NS,2026-03-23T03:45:00Z,JUBLFOOD.NS,LONG,NoTrade,Unfavourable,0.282895,152,Exact,0.822157,3.0,438.0500,454.8117,417.6625,NO_TRADE,1,false,false,false,0.039836,0.000000,0.038264,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-KOTAKBANK_NS,2026-03-23T03:45:00Z,KOTAKBANK.NS,LONG,Watch,Mixed,0.353846,130,Exact,1.041993,3.0,356.5500,367.0439,346.4790,TARGET,1,true,false,false,0.040387,0.000000,0.029432,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-LICI_NS,2026-03-23T03:45:00Z,LICI.NS,LONG,NoTrade,Unfavourable,0.283784,148,Exact,1.282788,3.0,370.0000,384.4735,358.7171,NO_TRADE,2,false,false,false,0.060338,0.000000,0.039118,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-LT_NS,2026-03-23T03:45:00Z,LT.NS,LONG,Buy,Favourable,0.528302,106,Exact,1.100028,3.0,3342.3999,3490.7026,3207.5827,TARGET,1,true,false,false,0.061243,0.000000,0.044370,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-LUPIN_NS,2026-03-23T03:45:00Z,LUPIN.NS,SHORT,Watch,Mixed,0.323308,133,StateOnly,1.148064,3.0,2296.7000,2193.7027,2386.4138,HORIZON,3,false,false,true,0.007054,-0.031611,-0.016589,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-M&M_NS,2026-03-23T03:45:00Z,M&M.NS,LONG,Buy,Favourable,0.530612,98,Exact,0.935163,4.0,2955.8000,3069.5269,2834.1883,TARGET_GAP_THROUGH,2,true,false,false,0.068374,0.000000,0.048752,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-MAHABANK_NS,2026-03-23T03:45:00Z,MAHABANK.NS,SHORT,NoTrade,Unfavourable,0.203704,54,Exact,0.811917,3.0,62.3200,58.9575,66.4615,NO_TRADE,2,false,false,false,0.000000,-0.073331,-0.066455,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-MARICO_NS,2026-03-23T03:45:00Z,MARICO.NS,SHORT,NoTrade,Unfavourable,0.160494,81,Exact,1.337196,4.0,725.3000,693.2796,749.2459,NO_TRADE,2,false,false,false,0.001172,-0.046119,-0.033015,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-MARUTI_NS,2026-03-23T03:45:00Z,MARUTI.NS,LONG,Buy,Favourable,0.510417,96,Exact,0.853507,4.5,12355.0000,12684.4648,11968.9872,TARGET,2,true,false,false,0.034399,-0.001862,0.026667,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-MPHASIS_NS,2026-03-23T03:45:00Z,MPHASIS.NS,LONG,Watch,Mixed,0.318182,132,Exact,1.088405,3.0,2063.6001,2167.6697,1967.9835,HORIZON,3,false,false,true,0.044001,-0.003344,0.025877,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-MRF_NS,2026-03-23T03:45:00Z,MRF.NS,LONG,Watch,Mixed,0.381579,152,Exact,0.783042,4.0,124975.0000,128145.8398,120925.6136,TARGET,1,true,false,false,0.031086,0.000000,0.025372,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-MUTHOOTFIN_NS,2026-03-23T03:45:00Z,MUTHOOTFIN.NS,LONG,NoTrade,Unfavourable,0.205882,102,Exact,1.049665,3.0,3115.6001,3274.0012,2964.6937,NO_TRADE,2,false,false,false,0.070099,-0.021986,0.050841,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-NAUKRI_NS,2026-03-23T03:45:00Z,NAUKRI.NS,LONG,Watch,Mixed,0.302817,142,Exact,1.036897,3.0,974.7000,1021.4973,929.5680,TARGET,2,true,false,false,0.056838,-0.013030,0.048012,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-NESTLEIND_NS,2026-03-23T03:45:00Z,NESTLEIND.NS,LONG,Watch,Mixed,0.382353,136,Exact,1.252057,4.0,1166.8000,1201.9016,1138.7649,TARGET,2,true,false,false,0.043709,-0.003085,0.030084,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-NMDC_NS,2026-03-23T03:45:00Z,NMDC.NS,LONG,Watch,Mixed,0.341270,126,Exact,1.018530,4.0,75.0900,78.4166,71.8240,TARGET,2,true,false,false,0.048608,-0.002264,0.044301,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-NTPC_NS,2026-03-23T03:45:00Z,NTPC.NS,SHORT,NoTrade,Unfavourable,0.278481,79,Exact,0.920230,3.0,372.4000,358.9501,387.0158,NO_TRADE,3,false,false,false,0.003759,-0.022959,-0.008727,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-OFSS_NS,2026-03-23T03:45:00Z,OFSS.NS,LONG,Watch,Mixed,0.322034,118,Exact,0.904593,3.0,6445.0000,6682.2802,6182.6938,TARGET,2,true,false,false,0.040962,0.000000,0.036816,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-ONGC_NS,2026-03-23T03:45:00Z,ONGC.NS,SHORT,NoTrade,Unfavourable,0.282353,85,Exact,0.609502,4.0,265.4500,257.6229,278.2919,NO_TRADE,3,false,false,false,0.000000,-0.073648,-0.048378,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-PAGEIND_NS,2026-03-23T03:45:00Z,PAGEIND.NS,LONG,NoTrade,Unfavourable,0.204545,132,Exact,1.235050,3.0,31345.0000,32629.8633,30304.6668,NO_TRADE,2,false,false,false,0.067156,-0.000479,0.040991,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-PERSISTENT_NS,2026-03-23T03:45:00Z,PERSISTENT.NS,LONG,Buy,Favourable,0.414141,99,Exact,0.899756,4.0,4724.5000,4963.4556,4458.9219,TARGET,3,true,false,false,0.055646,-0.003492,0.050578,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-PETRONET_NS,2026-03-23T03:45:00Z,PETRONET.NS,LONG,Watch,Mixed,0.385417,96,Exact,0.844437,3.0,238.0500,246.3106,228.2676,TARGET_GAP_THROUGH,2,true,false,false,0.055451,-0.007561,0.036127,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-PIDILITIND_NS,2026-03-23T03:45:00Z,PIDILITIND.NS,LONG,Watch,Mixed,0.393162,117,Exact,1.128005,4.0,1314.9000,1359.2964,1275.5417,TARGET,2,true,false,false,0.052475,-0.004487,0.033764,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-PNB_NS,2026-03-23T03:45:00Z,PNB.NS,LONG,Watch,Mixed,0.354167,144,Exact,1.044069,4.0,105.5500,110.2419,101.0562,TARGET,2,true,false,false,0.050213,0.000000,0.044452,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-POLYCAB_NS,2026-03-23T03:45:00Z,POLYCAB.NS,SHORT,NoTrade,Unfavourable,0.232143,56,Exact,1.158699,4.0,6795.0000,6433.7201,7106.7978,NO_TRADE,1,false,false,false,0.003017,-0.050920,-0.045886,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-POWERGRID_NS,2026-03-23T03:45:00Z,POWERGRID.NS,SHORT,NoTrade,Unfavourable,0.170886,158,StateOnly,0.786063,3.0,302.1000,294.4857,311.7866,NO_TRADE,1,false,false,false,0.032109,-0.022840,0.025204,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-RECLTD_NS,2026-03-23T03:45:00Z,RECLTD.NS,LONG,Watch,Mixed,0.325758,132,Exact,0.795259,3.0,316.4500,328.2490,301.6133,TARGET,2,true,false,false,0.040133,-0.013904,0.037286,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-RELIANCE_NS,2026-03-23T03:45:00Z,RELIANCE.NS,LONG,Watch,Mixed,0.378882,161,Exact,0.952606,3.0,1407.8000,1447.0673,1366.5792,RISK,3,false,true,false,0.016124,-0.044609,-0.029280,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-SAIL_NS,2026-03-23T03:45:00Z,SAIL.NS,SHORT,Watch,Mixed,0.363636,88,Exact,0.812256,3.0,143.0400,136.8231,150.6938,RISK,2,false,true,false,0.000000,-0.065017,-0.053508,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-SBILIFE_NS,2026-03-23T03:45:00Z,SBILIFE.NS,LONG,Watch,Mixed,0.307692,104,Exact,1.181349,4.0,1832.3000,1903.0995,1772.3691,RISK,4,false,true,false,0.019156,-0.036184,-0.032708,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-SBIN_NS,2026-03-23T03:45:00Z,SBIN.NS,SHORT,Watch,Mixed,0.372549,102,Exact,1.232278,3.0,1031.9000,992.4256,1063.9337,RISK,2,false,true,false,0.011532,-0.032561,-0.031043,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-SHREECEM_NS,2026-03-23T03:45:00Z,SHREECEM.NS,LONG,NoTrade,Unfavourable,0.294737,95,Exact,0.989584,4.0,22725.0000,23516.3899,21925.2806,NO_TRADE,2,false,false,false,0.071727,-0.004840,0.034825,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-SIEMENS_NS,2026-03-23T03:45:00Z,SIEMENS.NS,SHORT,Watch,Mixed,0.333333,81,Exact,1.095561,3.0,2988.3000,2838.5320,3125.0045,RISK,2,false,true,false,0.002778,-0.046414,-0.045747,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-SRF_NS,2026-03-23T03:45:00Z,SRF.NS,LONG,Watch,Mixed,0.310078,129,Exact,1.085903,3.0,2391.5000,2499.5537,2291.9942,TARGET_GAP_THROUGH,2,true,false,false,0.079574,-0.001924,0.046205,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-SUNPHARMA_NS,2026-03-23T03:45:00Z,SUNPHARMA.NS,SHORT,NoTrade,Unfavourable,0.284884,172,StateOnly,0.965677,3.0,1758.4000,1706.4641,1812.1819,NO_TRADE,3,false,false,false,0.007564,-0.034463,-0.030586,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-TATACONSUM_NS,2026-03-23T03:45:00Z,TATACONSUM.NS,LONG,NoTrade,Unfavourable,0.258503,147,Exact,1.432606,4.0,1023.6000,1066.2531,993.8269,NO_TRADE,2,false,false,false,0.048261,-0.000782,0.041670,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-TATASTEEL_NS,2026-03-23T03:45:00Z,TATASTEEL.NS,SHORT,NoTrade,Unfavourable,0.288660,97,Exact,1.161782,4.0,187.1700,179.1968,194.0329,NO_TRADE,2,false,false,false,0.000000,-0.053320,-0.036667,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-TCS_NS,2026-03-23T03:45:00Z,TCS.NS,LONG,Watch,Mixed,0.322581,186,Exact,0.898331,3.0,2383.8000,2457.7839,2301.4430,HORIZON,3,false,false,true,0.021646,-0.005873,0.002517,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-TECHM_NS,2026-03-23T03:45:00Z,TECHM.NS,LONG,NoTrade,Unfavourable,0.297030,101,Exact,1.080811,3.0,1384.0000,1446.0933,1326.5493,NO_TRADE,3,false,false,false,0.039884,0.000000,0.005491,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-TITAN_NS,2026-03-23T03:45:00Z,TITAN.NS,SHORT,Watch,Mixed,0.306667,75,Exact,1.156689,4.0,3853.1001,3723.2470,3965.3628,RISK,1,false,true,false,0.002621,-0.034232,-0.029136,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-TMCV_NS,2026-03-23T03:45:00Z,TMCV.NS,LONG,Buy,Mixed,0.342857,35,RelaxVolume,2.638326,3.0,394.4500,444.1484,375.6129,HORIZON,3,false,false,true,0.107872,0.000000,0.084041,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-TORNTPHARM_NS,2026-03-23T03:45:00Z,TORNTPHARM.NS,SHORT,NoTrade,Unfavourable,0.244444,45,Exact,1.267123,4.0,4213.8999,4030.8192,4358.3852,NO_TRADE,4,false,false,false,0.012506,-0.029901,-0.001495,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-TRENT_NS,2026-03-23T03:45:00Z,TRENT.NS,LONG,Watch,Mixed,0.375000,88,Exact,1.112497,4.0,2237.8000,2356.8028,2130.8309,HORIZON,4,false,false,true,0.052313,-0.024190,-0.018143,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-TVSMOTOR_NS,2026-03-23T03:45:00Z,TVSMOTOR.NS,LONG,Buy,Favourable,0.487179,78,Exact,1.071264,4.0,3412.5000,3552.6220,3281.6995,TARGET,2,true,false,false,0.052015,-0.000557,0.041061,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-ULTRACEMCO_NS,2026-03-23T03:45:00Z,ULTRACEMCO.NS,LONG,Buy,Favourable,0.428571,119,Exact,0.965757,4.0,10362.0000,10652.2294,10061.4797,TARGET,1,true,false,false,0.048736,0.000000,0.028009,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-UNITDSPR_NS,2026-03-23T03:45:00Z,UNITDSPR.NS,LONG,NoTrade,Insufficient,0.000000,0,Insufficient,,,1275.2000,,,NO_TRADE,2,false,false,false,0.055050,0.000000,0.050000,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-UPL_NS,2026-03-23T03:45:00Z,UPL.NS,LONG,Watch,Mixed,0.393162,117,Exact,0.889984,4.0,602.4000,622.8231,579.4523,TARGET,1,true,false,false,0.038513,0.000000,0.033903,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-VBL_NS,2026-03-23T03:45:00Z,VBL.NS,LONG,Watch,Mixed,0.328571,70,Exact,1.039242,4.0,382.2000,397.2429,367.7252,TARGET,2,true,false,false,0.065934,0.000000,0.039359,true
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-VEDL_NS,2026-03-23T03:45:00Z,VEDL.NS,SHORT,NoTrade,Unfavourable,0.215686,51,Exact,1.346373,2.0,645.7500,606.6201,674.8132,NO_TRADE,2,false,false,false,0.003407,-0.043438,-0.037011,false
T6,2026-03-23T03:45:00Z,TIME006-20260323T034500Z-gen20260820T091358064963Z-WIPRO_NS,2026-03-23T03:45:00Z,WIPRO.NS,LONG,Watch,Mixed,0.333333,168,Exact,0.737908,3.0,187.5400,192.8720,180.3142,HORIZON,3,false,false,true,0.025328,0.000000,0.021649,true
