ticker,direction,date,entry_price,adaptive_target,adaptive_risk,candidate_stop_pct,candidate_stop_price,stop_confidence,coverage_quality,n_obs,path_context,final_tier,exit_price,exit_time_ist,exit_reason,realized_return,max_adverse_excursion,max_favourable_excursion,bars_held,h300_counterfactual_ret,stop_consequence_pp
ADANIGREEN_NS,LONG,20260907,1288.000000,1372.112652,1207.300768,-0.003281,1283.770000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,1304.900024,10:14,HORIZON,0.013121,0.000000,0.016926,48,0.013121,0.000000
AMBUJACEM_NS,LONG,20260907,398.600006,415.061449,382.181053,-0.003149,397.340000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,402.950012,10:14,HORIZON,0.010913,0.000000,0.012920,48,0.010913,0.000000
ASIANPAINT_NS,LONG,20260907,2500.899902,2581.099731,2422.998605,-0.000505,2499.640000,LOW,LIMITED,4,STRONG_FAVOUR,mae_h300_p50,2513.199951,10:14,HORIZON,0.004918,0.000000,0.007437,48,0.004918,0.000000
BAJAJ-AUTO_NS,SHORT,20260907,11800.000000,11340.617151,12209.466176,-0.005956,11729.720000,LOW,LIMITED,4,STRONG_FAVOUR,mae_h60_p50,11729.720000,09:27,STOP,0.005956,0.000000,0.003136,1,-0.000508,0.006464
BAJFINANCE_NS,LONG,20260907,1060.000000,1100.221219,1024.140722,-0.000951,1058.990000,LOW,LIMITED,4,NORMAL,mae_h300_p50,1060.000000,10:14,HORIZON,0.000000,-0.000472,0.003679,48,0.000000,0.000000
BANKBARODA_NS,LONG,20260907,237.000000,247.588306,225.388184,-0.048995,225.390000,MEDIUM,USABLE,5,NORMAL,adaptive_risk,237.679993,10:14,HORIZON,0.002869,0.000000,0.008270,48,0.002869,0.000000
BPCL_NS,LONG,20260907,312.899994,325.385986,298.944420,-0.044601,298.940000,LOW,LIMITED,2,NORMAL,adaptive_risk,313.500000,10:14,HORIZON,0.001918,0.000000,0.006552,48,0.001918,0.000000
BRITANNIA_NS,LONG,20260907,5042.500000,5217.848779,4922.998693,-0.002082,5032.000000,MEDIUM,USABLE,5,NORMAL,mae_h300_p75,5032.000000,09:34,STOP,-0.002082,-0.002082,0.001487,8,-0.000099,-0.001983
COLPAL_NS,LONG,20260907,1813.500000,1891.448842,1758.838194,-0.001083,1811.540000,LOW,LIMITED,4,STRONG_FAVOUR,mae_h300_p50,1820.099976,10:14,HORIZON,0.003639,0.000000,0.007996,48,0.003639,0.000000
DABUR_NS,LONG,20260907,375.500000,386.421489,364.963522,-0.008406,372.340000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,378.700012,10:14,HORIZON,0.008522,0.000000,0.012117,48,0.008522,0.000000
DRREDDY_NS,LONG,20260907,1144.199951,1182.010596,1105.981410,-0.033402,1105.980000,LOW,LIMITED,3,NORMAL,adaptive_risk,1153.900024,10:14,HORIZON,0.008478,0.000000,0.015382,48,0.008478,0.000000
GODREJCP_NS,LONG,20260907,861.900024,894.115778,830.656542,-0.001683,860.450000,LOW,LIMITED,4,STRONG_FAVOUR,mae_h60_p50,868.099976,10:14,HORIZON,0.007193,0.000000,0.012182,48,0.007193,0.000000
GODREJPROP_NS,LONG,20260907,1922.199951,2027.161895,1816.885859,-0.054788,1816.890000,MEDIUM,USABLE,5,STRONG_FAVOUR,adaptive_risk,1946.000000,10:14,HORIZON,0.012382,0.000000,0.022786,48,0.012382,0.000000
HDFCBANK_NS,LONG,20260907,710.500000,725.882513,693.238773,-0.002264,708.890000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,708.890000,10:10,STOP,-0.002266,-0.002393,0.001970,44,-0.002182,-0.000084
HDFCLIFE_NS,LONG,20260907,533.200012,549.298519,514.462669,-0.035141,514.460000,MEDIUM,USABLE,5,STRONG_FAVOUR,adaptive_risk,539.299988,10:14,HORIZON,0.011440,0.000000,0.017348,48,0.011440,0.000000
INDUSINDBK_NS,LONG,20260907,998.000000,1045.546550,959.020109,-0.006933,991.080000,LOW,LIMITED,3,STRONG_FAVOUR,mae_h60_p50,1012.900024,10:14,HORIZON,0.014930,0.000000,0.016934,48,0.014930,0.000000
INDUSTOWER_NS,LONG,20260907,376.450012,396.316058,360.675239,-0.001472,375.900000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,378.950012,10:14,HORIZON,0.006641,0.000000,0.019126,48,0.006641,0.000000
IOC_NS,LONG,20260907,135.149994,139.901534,130.349193,-0.003487,134.680000,MEDIUM,USABLE,5,NORMAL,mae_h300_p75,136.169998,10:14,HORIZON,0.007547,0.000000,0.011469,48,0.007547,0.000000
LICI_NS,LONG,20260907,411.500000,423.126141,398.701192,-0.002209,410.590000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,414.549988,10:14,HORIZON,0.007412,0.000000,0.013973,48,0.007412,0.000000
LUPIN_NS,LONG,20260907,2105.000000,2188.548309,2038.541742,-0.031572,2038.540000,MEDIUM,USABLE,5,NORMAL,adaptive_risk,2115.899902,10:14,HORIZON,0.005178,0.000000,0.008171,48,0.005178,0.000000
M&M_NS,SHORT,20260907,3160.000000,3031.109780,3289.526689,-0.009532,3129.880000,LOW,LIMITED,4,NORMAL,mae_h300_p50,3129.880000,09:27,STOP,0.009532,-0.000759,0.000000,1,-0.003576,0.013108
MRF_NS,LONG,20260907,128890.000000,132160.170413,124723.676554,-0.003304,128464.150000,LOW,LIMITED,3,STRONG_FAVOUR,mae_h60_p50,128800.000000,10:14,HORIZON,-0.000698,-0.001435,0.003181,48,-0.000698,0.000000
NESTLEIND_NS,LONG,20260907,1398.000000,1440.056879,1364.206036,-0.002790,1394.100000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,1394.100000,09:57,STOP,-0.002790,-0.002790,0.002861,31,-0.001144,-0.001645
ONGC_NS,LONG,20260907,233.699997,240.962836,224.952502,-0.037430,224.950000,MEDIUM,USABLE,5,NORMAL,adaptive_risk,233.619995,10:14,HORIZON,-0.000342,-0.000856,0.001669,48,-0.000342,0.000000
PAGEIND_NS,LONG,20260907,35825.000000,37293.503073,34629.112632,-0.004743,35655.080000,LOW,LIMITED,4,STRONG_FAVOUR,mae_h60_p50,36000.000000,10:18,HORIZON,0.004885,0.000000,0.013817,48,0.004885,0.000000
RECLTD_NS,LONG,20260907,316.399994,328.197160,302.130305,-0.045100,302.130000,MEDIUM,USABLE,5,NORMAL,adaptive_risk,318.700012,10:14,HORIZON,0.007269,0.000000,0.015171,48,0.007269,0.000000
SBILIFE_NS,LONG,20260907,1732.000000,1798.923849,1677.692890,-0.000772,1730.660000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,1754.199951,10:14,HORIZON,0.012818,0.000000,0.016340,48,0.012818,0.000000
SBIN_NS,LONG,20260907,1005.900024,1035.430630,971.719517,-0.003848,1002.030000,LOW,LIMITED,2,STRONG_FAVOUR,mae_h60_p50,1007.000000,10:14,HORIZON,0.001094,0.000000,0.011433,48,0.001094,0.000000
SHREECEM_NS,LONG,20260907,23365.000000,24178.677655,22595.375845,-0.001065,23340.120000,LOW,LIMITED,4,STRONG_FAVOUR,mae_h60_p50,23610.000000,10:14,HORIZON,0.010486,0.000000,0.017334,48,0.010486,0.000000
SUNPHARMA_NS,LONG,20260907,1895.000000,1939.379096,1846.130430,-0.000792,1893.500000,LOW,LIMITED,3,NORMAL,mae_h300_p50,1896.800049,10:14,HORIZON,0.000950,0.000000,0.003272,48,0.000950,0.000000
TATASTEEL_NS,LONG,20260907,185.610001,191.818228,178.111293,-0.002852,185.080000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,185.600006,10:14,HORIZON,-0.000054,-0.001509,0.008728,48,-0.000054,0.000000
TECHM_NS,LONG,20260907,1564.000000,1634.169066,1499.077414,-0.001918,1561.000000,LOW,LIMITED,2,NORMAL,mae_h300_p50,1561.000000,09:44,STOP,-0.001918,-0.003133,0.003261,18,0.001407,-0.003325
TRENT_NS,LONG,20260907,2814.500000,2964.170818,2685.786178,-0.004776,2801.060000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,2823.699951,10:14,HORIZON,0.003269,0.000000,0.012116,48,0.003269,0.000000
ULTRACEMCO_NS,LONG,20260907,11175.000000,11488.000780,10859.977513,-0.002610,11145.830000,LOW,LIMITED,4,STRONG_FAVOUR,mae_h300_p50,11247.000000,10:14,HORIZON,0.006443,0.000000,0.010828,48,0.006443,0.000000
UNITDSPR_NS,LONG,20260907,1440.000000,1489.204388,1385.512452,-0.037839,1385.510000,LOW,LIMITED,3,STRONG_FAVOUR,adaptive_risk,1461.099976,10:14,HORIZON,0.014653,0.000000,0.018264,48,0.014653,0.000000
